truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
2,3,1,5,2,3,3
2,3,1,2,2,2,2
2,3,1,9,2,1,3
2,3,1,1,2,3,3
2,3,1,5,2,3,3
2,3,1,5,2,3,3
2,3,1,9,2,1,3
2,3,1,5,2,3,3
2,3,1,5,2,3,3
2,3,1,9,2,1,3
2,3,2,6,2,6,5
2,3,1,5,2,3,3
2,3,2,6,2,6,5
2,3,1,2,2,2,2
2,3,2,8,2,2,4
2,3,2,1,2,6,3
2,3,1,5,2,3,3
2,3,1,5,2,3,3
2,3,2,8,2,2,4
2,3,1,9,2,1,3
2,3,1,9,2,1,3
2,3,2,6,2,6,5
2,3,2,8,2,2,4
2,3,2,1,2,0,3
2,3,2,2,2,2,6
2,3,2,6,2,6,5
2,3,2,6,2,6,5
2,3,1,4,2,1,3
2,3,2,6,2,6,5
2,3,1,1,2,3,3
2,3,1,2,2,2,2
2,3,2,6,2,6,5
2,3,2,8,2,2,4
2,3,1,4,2,1,3
2,3,1,9,2,1,3
2,3,1,4,2,1,2
2,3,1,4,2,1,3
2,3,1,9,2,1,3
2,3,1,5,2,3,3
2,3,1,4,2,1,3
2,3,2,8,2,2,4
2,3,1,5,2,3,3
2,3,2,1,2,0,3
2,3,1,5,2,3,3
2,3,1,1,2,3,3
2,3,2,6,2,6,5
2,3,2,8,2,2,4
2,3,1,1,2,3,3
2,3,1,5,2,3,3
2,3,2,6,2,6,5
2,3,1,5,2,3,3
2,3,2,6,2,6,5
2,3,1,1,2,3,3
2,3,1,1,2,0,3
2,3,1,2,2,2,2
2,3,1,5,2,3,3
2,3,2,1,2,0,3
2,3,2,8,2,2,4
2,3,2,8,2,2,4
2,3,1,5,2,3,3
2,3,2,1,2,0,3
2,3,2,2,2,2,6
2,3,2,6,2,6,5
2,3,1,9,2,1,3
2,3,1,4,2,1,3
2,3,1,2,2,2,2
2,3,2,8,2,2,4
2,3,2,1,2,0,3
2,3,1,9,2,3,3
2,3,1,1,2,3,3
2,3,1,2,2,2,2
2,3,1,9,2,1,3
2,3,1,2,2,2,2
2,3,2,1,2,6,3
2,3,2,1,2,6,3
2,3,1,1,2,3,3
2,3,2,6,2,6,5
2,3,1,5,2,3,3
2,3,1,2,2,2,2
2,3,2,8,2,2,4
2,3,1,4,2,1,3
2,3,2,6,2,6,5
2,3,2,8,2,2,4
2,3,1,9,2,1,3
2,3,1,4,2,1,3
2,3,1,9,2,3,3
2,3,2,8,2,2,4
2,3,2,1,2,6,3
2,3,1,2,2,2,2
2,3,1,5,2,3,3
2,3,1,2,2,2,2
2,3,2,8,2,2,4
2,3,2,8,2,2,4
2,3,1,4,2,1,3
2,3,2,1,2,0,3
2,3,2,6,2,6,5
2,3,1,4,2,1,3
2,3,2,6,2,6,5
2,3,2,8,2,6,4
2,3,1,9,2,1,3
2,3,1,4,2,1,3
2,3,2,8,2,2,4
2,3,1,5,2,3,3
2,3,2,1,2,6,3
2,3,1,5,2,3,3
2,3,2,8,2,2,4
2,3,1,5,2,3,3
2,3,1,4,2,1,3
2,3,1,5,2,3,3
2,3,2,2,2,2,6
2,3,2,1,2,0,3
2,3,2,6,2,6,5
2,3,2,1,2,0,3
2,3,1,5,2,3,3
2,3,1,5,2,3,3
2,3,1,2,2,2,2
2,3,1,1,2,3,3
2,3,1,5,2,3,3
2,3,1,4,2,1,3
2,3,1,9,2,1,3
2,3,1,2,2,2,2
2,3,2,2,2,2,6
2,3,2,1,2,6,3
2,3,1,1,2,0,3
2,3,2,1,2,6,3
2,3,1,9,2,1,3
2,3,2,8,2,2,4
2,3,1,5,2,3,3
2,3,1,2,2,2,2
2,3,2,8,2,2,4
2,3,2,8,2,2,4
2,3,1,9,2,3,3
2,3,1,5,2,3,3
2,3,2,8,2,2,4
2,3,1,5,2,3,3
2,3,1,9,2,1,3
2,3,2,6,2,6,5
2,3,2,8,2,2,4
2,3,1,4,2,1,3
2,3,1,5,2,3,3
2,3,1,9,2,1,3
2,3,1,5,2,3,3
2,3,1,9,2,1,3
2,3,2,8,2,2,4
2,3,1,2,2,1,2
2,3,1,1,2,3,3
2,3,1,5,2,3,3
2,3,2,6,2,6,5
2,3,1,2,2,2,2
2,3,1,2,2,2,2
2,3,1,4,2,1,2
2,3,2,6,2,6,5
2,3,1,5,2,3,3
2,3,1,4,2,1,3
2,3,1,9,2,1,3
2,3,1,4,2,1,3
2,3,2,6,2,6,5
2,3,2,8,2,2,4
2,3,1,2,2,2,2
2,3,2,8,2,2,4
2,3,1,9,2,3,3
2,3,2,1,2,6,3
2,3,2,8,2,2,4
2,3,1,4,2,1,2
2,3,2,6,2,6,5
2,3,2,8,2,2,4
2,3,1,5,2,3,3
2,3,1,2,2,2,2
2,3,2,1,2,6,3
2,3,2,1,2,0,3
2,3,2,8,2,2,4
2,3,2,1,2,6,3
2,3,1,5,2,3,3
2,3,2,8,2,2,4
2,3,1,2,2,2,2
5,2,1,7,1,4,2
4,3,2,8,2,5,4
6,2,1,9,2,4,3
3,3,2,1,2,0,3
