truth,kmeans_plus,hclust,gmm,dbscan
1,1,1,0,1
2,7,4,6,2
1,3,1,5,1
2,3,4,1,2
1,3,1,5,1
2,3,4,1,2
1,3,2,5,1
2,3,5,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,1,1,5,1
2,7,4,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,3,2,5,1
2,3,5,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,5,1
2,7,4,1,2
1,7,3,6,1
2,2,6,3,2
1,1,1,5,1
2,7,4,1,2
1,1,1,5,1
2,7,4,1,2
1,3,1,5,1
2,3,4,1,2
1,1,1,0,1
2,7,4,6,2
1,3,2,5,1
2,3,5,1,2
1,1,1,0,1
2,7,4,6,2
1,3,2,1,1
2,3,5,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,6,3,1,1
2,2,6,3,2
1,3,1,5,1
2,3,4,1,2
1,3,1,5,1
2,3,4,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,5,1
2,7,4,1,2
1,3,2,1,1
2,3,5,1,2
1,1,1,5,1
2,7,4,1,2
1,3,2,5,1
2,3,5,1,2
1,1,1,0,1
2,7,4,6,2
1,3,1,5,1
2,3,4,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,1,2
1,3,1,5,1
2,3,4,1,2
1,7,3,6,1
2,1,6,3,2
1,1,1,0,1
2,7,4,6,2
1,3,1,5,1
2,3,4,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,5,1
2,7,4,1,2
1,1,1,5,1
2,7,4,1,2
1,1,1,5,1
2,7,4,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,6,2,1,1
2,2,5,3,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,3,2,5,1
2,3,5,1,2
1,1,1,5,1
2,7,4,1,2
1,3,2,5,1
2,3,5,1,2
1,3,1,5,1
2,3,4,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,3,1,5,1
2,3,4,1,2
1,3,2,5,1
2,3,5,1,2
1,1,1,5,1
2,7,4,1,2
1,1,1,0,1
2,7,4,1,2
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,5,1
1,1,1,5,1
1,3,1,5,1
1,3,2,5,1
1,3,2,5,1
1,6,2,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,6,1
1,7,3,6,1
2,7,4,6,2
2,7,4,6,2
2,7,4,6,2
2,7,4,1,2
2,7,4,1,2
2,3,4,1,2
2,3,5,1,2
2,3,5,1,2
2,2,5,3,2
2,2,6,3,2
2,2,6,3,2
2,2,6,3,2
2,1,6,3,2
1,6,3,6,1
2,2,6,3,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,3,2,5,1
2,3,5,1,2
1,1,1,5,1
2,7,4,1,2
1,3,2,5,1
2,3,5,1,2
1,6,3,2,1
2,2,6,3,2
1,1,1,0,1
2,7,4,6,2
1,3,2,5,1
2,3,5,1,2
1,1,1,0,1
2,7,4,1,2
1,6,2,2,1
2,2,5,1,2
1,1,1,0,1
2,7,4,6,2
1,3,2,5,1
2,3,5,1,2
1,6,2,2,1
2,2,5,3,2
1,6,3,2,1
2,2,6,3,2
1,1,1,0,1
2,7,4,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,5,1
2,7,4,1,2
1,3,2,5,1
2,3,5,1,2
1,3,1,5,1
2,3,4,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,1,1,5,1
2,7,4,1,2
1,3,2,5,1
2,3,5,1,2
1,6,3,2,1
2,2,6,3,2
1,6,2,5,1
2,2,5,1,2
1,5,1,5,1
2,4,4,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,3,1,5,1
2,3,4,1,2
1,1,1,0,1
2,7,4,6,2
1,5,1,5,1
2,4,4,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,6,3,2,1
2,2,6,3,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,3,1,5,1
2,3,4,1,2
1,1,1,0,1
2,7,4,6,2
1,5,1,5,1
2,4,4,1,2
1,1,1,0,1
2,7,4,6,2
1,5,1,5,1
2,4,4,1,2
1,1,1,0,1
2,7,4,6,2
1,6,2,5,1
2,2,5,1,2
1,5,1,5,1
2,4,4,1,2
1,1,1,0,1
2,7,4,6,2
1,3,1,5,1
2,3,4,1,2
1,1,1,0,1
2,7,4,6,2
1,5,1,5,1
2,4,4,1,2
1,5,1,5,1
2,4,4,1,2
1,3,1,5,1
2,3,4,1,2
1,1,1,0,1
2,7,4,6,2
1,3,1,5,1
2,3,4,1,2
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,5,1,5,1
1,5,1,5,1
1,5,1,5,1
1,3,1,5,1
1,6,2,5,1
1,6,2,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
2,7,4,6,2
2,7,4,6,2
2,7,4,6,2
2,4,4,1,2
2,4,4,1,2
2,4,4,1,2
2,3,4,1,2
2,2,5,1,2
2,2,5,3,2
2,2,6,3,2
2,2,6,3,2
2,2,6,3,2
2,2,6,3,2
1,6,2,5,1
2,2,5,1,2
1,5,1,5,1
2,4,4,1,2
1,1,1,0,1
2,7,4,6,2
1,5,1,5,1
2,4,4,1,2
1,1,1,0,1
2,7,4,6,2
1,5,1,5,1
2,4,4,1,2
1,6,3,2,1
2,2,6,3,2
1,6,2,5,1
2,2,5,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,5,1,5,1
2,4,4,1,2
1,5,1,0,1
2,4,4,1,2
1,1,1,0,1
2,7,4,6,2
1,6,3,2,1
2,2,6,3,2
1,6,3,2,1
2,2,6,3,2
1,6,2,5,1
2,2,5,1,2
1,5,1,0,1
2,4,4,1,2
1,5,1,5,1
2,4,4,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,5,1,5,1
2,4,4,1,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,6,3,2,1
2,2,6,3,2
1,1,1,0,1
2,7,4,6,2
1,5,1,0,1
2,4,4,6,2
1,5,1,5,1
2,4,4,1,2
1,6,2,2,1
2,2,5,3,2
1,1,1,0,1
2,7,4,6,2
1,1,1,0,1
2,7,4,6,2
1,5,1,5,1
2,4,4,1,2
1,5,1,5,1
2,4,4,1,2
1,5,1,5,1
2,4,4,1,2
1,1,1,0,1
2,7,4,6,2
1,6,1,5,1
2,2,4,1,2
1,5,1,5,1
2,4,4,1,2
1,6,3,2,1
2,2,6,3,2
1,5,1,0,1
2,4,4,6,2
1,6,2,2,1
2,2,5,3,2
1,6,2,5,1
2,2,5,1,2
1,5,1,0,1
2,4,4,6,2
1,6,2,2,1
2,2,5,3,2
1,5,1,0,1
2,4,4,6,2
1,5,1,0,1
2,4,4,6,2
1,5,1,0,1
2,4,4,6,2
1,5,1,0,1
2,4,4,6,2
1,6,2,2,1
2,2,5,1,2
1,5,1,5,1
2,4,4,1,2
1,5,1,0,1
2,4,4,6,2
1,5,1,0,1
2,4,4,6,2
1,5,1,0,1
2,4,4,6,2
1,5,1,5,1
2,4,4,1,2
1,1,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,5,1
1,5,1,5,1
1,5,1,5,1
1,6,1,5,1
1,6,2,2,1
1,6,2,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
2,4,4,6,2
2,4,4,6,2
2,4,4,6,2
2,4,4,1,2
2,4,4,1,2
2,4,4,1,2
2,2,4,1,2
2,2,5,1,2
2,2,5,3,2
2,2,6,3,2
2,2,6,3,2
2,2,6,3,2
2,2,6,3,2
1,5,1,0,1
2,4,4,6,2
1,6,2,2,1
2,2,5,3,2
1,6,2,2,1
2,2,5,3,2
1,6,2,2,1
2,2,5,3,2
1,6,3,2,1
2,2,6,3,2
1,6,2,2,1
2,2,5,1,2
1,5,1,5,1
2,4,4,1,2
1,6,1,5,1
2,2,4,1,2
1,5,1,5,1
2,4,4,1,2
1,6,2,5,1
2,2,5,1,2
1,5,1,5,1
2,4,4,1,2
1,5,1,4,1
2,4,4,6,2
1,6,2,5,1
2,2,5,1,2
1,5,1,5,1
2,4,4,1,2
1,5,1,5,1
2,4,4,1,2
1,5,1,4,1
2,4,4,6,2
1,5,1,5,1
2,4,4,1,2
1,6,2,5,1
2,2,5,1,2
1,5,1,4,1
2,4,4,1,2
1,5,1,4,1
2,4,4,6,2
1,6,2,5,1
2,2,5,1,2
1,5,1,4,1
2,4,4,1,2
1,5,1,5,1
2,4,4,1,2
1,5,1,4,1
2,4,4,6,2
1,5,1,4,1
2,4,4,1,2
1,6,3,2,1
2,2,6,3,2
1,5,1,5,1
2,4,4,1,2
1,5,1,4,1
2,4,4,6,2
1,5,1,4,1
2,4,4,1,2
1,6,2,2,1
2,2,5,3,2
1,5,1,5,1
2,4,4,1,2
1,5,1,4,1
2,4,4,6,2
1,6,2,2,1
2,2,5,1,2
1,5,1,4,1
2,4,4,6,2
1,5,1,4,1
2,4,4,6,2
1,5,1,5,1
2,4,4,1,2
1,5,1,4,1
2,4,4,6,2
1,5,1,4,1
2,4,4,6,2
1,5,1,4,1
2,4,4,6,2
1,5,1,4,1
2,4,4,6,2
1,5,1,4,1
2,4,4,6,2
1,5,1,4,1
2,4,4,6,2
1,5,1,4,1
2,4,4,6,2
1,5,1,4,1
2,4,4,6,2
1,5,1,5,1
2,4,4,1,2
1,5,1,4,1
2,4,4,1,2
1,5,1,4,1
1,5,1,4,1
1,5,1,4,1
1,5,1,4,1
1,5,1,5,1
1,5,1,5,1
1,6,2,5,1
1,6,2,2,1
1,6,2,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
2,4,4,6,2
2,4,4,6,2
2,4,4,6,2
2,4,4,1,2
2,4,4,1,2
2,4,4,1,2
2,2,5,1,2
2,2,5,1,2
2,2,5,3,2
2,2,6,3,2
2,2,6,3,2
2,2,7,3,2
2,2,6,3,2
1,6,2,5,1
2,2,5,1,2
1,6,2,5,1
2,2,5,1,2
1,5,1,4,1
2,4,4,6,2
1,5,1,4,1
2,4,4,6,2
1,5,1,5,1
2,4,4,1,2
1,5,1,5,1
2,4,4,1,2
1,5,1,4,1
2,4,4,6,2
1,5,1,5,1
2,4,4,1,2
1,6,2,2,1
2,2,5,3,2
1,5,1,4,1
2,4,4,1,2
1,5,1,4,1
2,4,4,6,2
1,5,1,5,1
2,4,4,1,2
1,5,1,4,1
2,4,4,6,2
1,5,1,4,1
2,4,4,6,2
1,5,1,5,1
2,4,4,1,2
1,5,1,4,1
2,4,4,6,2
1,5,1,4,1
2,4,4,6,2
1,5,1,5,1
2,4,4,1,2
1,5,1,4,1
2,4,4,6,2
1,5,1,5,1
2,4,4,1,2
1,5,1,4,1
2,4,4,1,2
1,6,3,2,1
2,2,7,3,2
1,5,1,4,1
2,4,4,6,2
1,5,1,4,1
2,4,4,6,2
1,5,1,5,1
2,4,4,1,2
1,5,1,4,1
2,4,4,6,2
1,5,1,5,1
2,4,4,1,2
1,5,1,5,1
2,4,4,1,2
1,6,2,2,1
2,2,5,3,2
1,6,3,2,1
2,2,7,3,2
1,5,1,4,1
1,5,1,4,1
1,5,8,4,1
1,5,1,4,1
1,5,1,5,1
1,5,1,5,1
1,6,2,5,1
1,6,2,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
2,4,4,6,2
2,4,4,6,2
2,4,9,6,2
2,4,4,1,2
2,4,4,1,2
2,4,4,1,2
2,2,5,1,2
2,2,5,3,2
2,2,7,3,2
2,2,7,3,2
2,2,7,3,2
2,2,7,3,2
2,2,7,3,2
1,6,2,2,1
2,2,5,1,2
1,5,8,4,1
2,4,9,6,2
1,6,3,2,1
2,2,7,3,2
1,5,1,5,1
2,4,4,1,2
1,6,3,2,1
2,2,7,3,2
1,6,3,2,1
2,2,7,3,2
1,6,2,2,1
2,2,5,1,2
1,5,8,4,1
2,4,9,6,2
1,5,8,5,1
2,4,9,1,2
1,6,3,2,1
2,2,7,3,2
1,5,8,4,1
2,4,9,6,2
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
2,2,7,3,2
2,2,7,3,2
2,2,7,3,2
2,2,7,3,2
1,5,8,4,1
2,4,9,6,2
1,6,2,2,1
2,2,5,3,2
1,5,8,4,1
2,4,9,6,2
1,6,3,2,1
2,2,7,3,2
1,5,8,4,1
2,4,9,6,2
1,6,2,2,1
2,2,5,3,2
1,6,2,2,1
2,2,5,1,2
1,5,8,4,1
1,5,8,4,1
1,5,8,4,1
1,5,8,4,1
1,5,8,5,1
1,5,8,5,1
1,6,2,2,1
1,6,2,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
2,4,9,6,2
2,4,9,6,2
2,4,9,6,2
2,4,9,1,2
2,4,9,1,2
2,4,9,1,2
2,2,5,1,2
2,2,5,3,2
2,2,7,3,2
2,2,7,3,2
2,2,7,3,2
2,2,7,3,2
2,2,7,3,2
1,6,3,2,1
2,2,7,3,2
1,6,2,2,1
2,2,5,3,2
1,5,8,4,1
2,4,9,6,2
1,6,2,2,1
2,2,5,3,2
1,5,8,4,1
2,4,9,6,2
1,5,8,4,1
2,4,9,6,2
1,5,8,4,1
2,4,9,6,2
1,5,8,5,1
2,4,9,1,2
1,6,3,2,1
2,2,7,3,2
1,5,8,4,1
2,4,9,6,2
1,5,8,4,1
2,4,9,6,2
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
2,2,7,3,2
2,2,7,3,2
2,2,7,3,2
2,2,7,3,2
1,5,8,5,1
2,4,9,1,2
1,5,8,4,1
2,4,9,6,2
1,5,8,5,1
2,4,9,1,2
1,5,8,5,1
2,4,9,1,2
1,5,8,5,1
2,4,9,1,2
1,5,8,4,1
1,5,8,4,1
1,5,8,4,1
1,5,8,4,1
1,5,8,5,1
1,5,8,5,1
1,6,2,2,1
1,6,2,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
1,6,3,2,1
2,4,9,6,2
2,4,9,6,2
2,4,9,6,2
2,4,9,1,2
2,4,9,1,2
2,4,9,1,2
2,2,5,1,2
2,2,5,3,2
2,2,7,3,2
2,2,7,3,2
2,2,7,3,2
2,2,7,3,2
2,2,7,3,2
